# LET [MeV/cm], E [MeV], beta 
66.6919,6.25443,0.115303
66.4803,6.27933,0.11553
66.2702,6.30423,0.115756
66.0616,6.32913,0.115983
65.8544,6.35404,0.116208
65.6487,6.37894,0.116433
65.4443,6.40384,0.116658
65.2414,6.42874,0.116882
65.0398,6.45365,0.117106
64.8396,6.47855,0.11733
64.6408,6.50345,0.117553
64.4433,6.52835,0.117775
64.2471,6.55326,0.117997
64.0522,6.57816,0.118219
63.8587,6.60306,0.11844
63.6664,6.62796,0.118661
63.4754,6.65287,0.118881
63.2856,6.67777,0.119101
63.0971,6.70267,0.11932
62.9099,6.72757,0.11954
62.7238,6.75248,0.119758
62.539,6.77738,0.119976
62.3554,6.80228,0.120194
62.1729,6.82718,0.120412
61.9916,6.85209,0.120629
61.8115,6.87699,0.120845
61.6326,6.90189,0.121061
61.4547,6.92679,0.121277
61.2781,6.9517,0.121493
61.1025,6.9766,0.121708
60.928,7.0015,0.121922
60.7546,7.0264,0.122136
60.5823,7.05131,0.12235
60.4111,7.07621,0.122564
60.241,7.10111,0.122777
60.0719,7.12601,0.122989
59.9038,7.15092,0.123202
59.7368,7.17582,0.123413
59.5708,7.20072,0.123625
59.4058,7.22562,0.123836
59.2418,7.25053,0.124047
59.0788,7.27543,0.124257
58.9168,7.30033,0.124467
58.7558,7.32523,0.124677
58.5958,7.35014,0.124886
58.4367,7.37504,0.125095
58.2785,7.39994,0.125304
58.1213,7.42484,0.125512
57.965,7.44974,0.12572
57.8097,7.47465,0.125927
57.6553,7.49955,0.126134
57.5017,7.52445,0.126341
57.3491,7.54935,0.126547
57.1974,7.57426,0.126753
57.0465,7.59916,0.126959
56.8965,7.62406,0.127164
56.7474,7.64896,0.127369
56.5992,7.67387,0.127574
56.4518,7.69877,0.127778
56.3052,7.72367,0.127982
56.1595,7.74857,0.128186
56.0146,7.77348,0.128389
55.8706,7.79838,0.128592
55.7273,7.82328,0.128794
55.5849,7.84818,0.128997
55.4432,7.87309,0.129199
55.3024,7.89799,0.1294
55.1623,7.92289,0.129602
55.023,7.94779,0.129802
54.8845,7.9727,0.130003
54.7468,7.9976,0.130203
54.6098,8.0225,0.130403
54.4736,8.0474,0.130603
54.3381,8.07231,0.130802
54.2033,8.09721,0.131001
54.0693,8.12211,0.1312
53.9361,8.14701,0.131398
53.8035,8.17192,0.131596
53.6717,8.19682,0.131794
53.5406,8.22172,0.131992
53.4101,8.24662,0.132189
53.2804,8.27153,0.132385
53.1514,8.29643,0.132582
53.0231,8.32133,0.132778
52.8954,8.34623,0.132974
52.7684,8.37114,0.13317
52.6421,8.39604,0.133365
52.5165,8.42094,0.13356
52.3915,8.44584,0.133755
52.2671,8.47075,0.133949
52.1435,8.49565,0.134143
52.0204,8.52055,0.134337
51.898,8.54545,0.13453
51.7762,8.57036,0.134724
51.6551,8.59526,0.134916
51.5346,8.62016,0.135109
51.4147,8.64506,0.135301
51.2954,8.66997,0.135493
51.1767,8.69487,0.135685
51.0587,8.71977,0.135877
50.9412,8.74467,0.136068
50.8243,8.76958,0.136259
50.708,8.79448,0.136449
50.5924,8.81938,0.13664
50.4772,8.84428,0.13683
50.3627,8.86919,0.13702
50.2487,8.89409,0.137209
50.1353,8.91899,0.137398
50.0225,8.94389,0.137587
49.9102,8.9688,0.137776
49.7985,8.9937,0.137964
49.6873,9.0186,0.138152
49.5767,9.0435,0.13834
49.4666,9.06841,0.138528
49.357,9.09331,0.138715
49.248,9.11821,0.138902
49.1395,9.14311,0.139089
49.0316,9.16802,0.139276
48.9242,9.19292,0.139462
48.8172,9.21782,0.139648
48.7108,9.24272,0.139834
48.6049,9.26763,0.140019
48.4996,9.29253,0.140204
48.3947,9.31743,0.140389
48.2903,9.34233,0.140574
48.1864,9.36724,0.140758
