# LET [MeV/cm], E [MeV], beta 
12.4253,49.8338,0.314619
12.4204,49.8587,0.314692
12.4155,49.8836,0.314764
12.4105,49.9085,0.314837
12.4056,49.9334,0.31491
12.4007,49.9583,0.314982
12.3958,49.9832,0.315055
12.3909,50.0081,0.315127
12.386,50.033,0.3152
12.3811,50.0579,0.315272
12.3762,50.0828,0.315345
12.3713,50.1077,0.315417
12.3664,50.1326,0.31549
12.3615,50.1575,0.315562
12.3567,50.1824,0.315634
12.3518,50.2073,0.315707
12.3469,50.2322,0.315779
12.3421,50.2571,0.315851
12.3372,50.282,0.315924
12.3324,50.3069,0.315996
12.3275,50.3318,0.316068
12.3227,50.3567,0.31614
12.3178,50.3816,0.316213
12.313,50.4065,0.316285
12.3082,50.4314,0.316357
12.3033,50.4563,0.316429
12.2985,50.4812,0.316501
12.2937,50.5062,0.316573
12.2889,50.5311,0.316645
12.2841,50.556,0.316717
12.2793,50.5809,0.316789
12.2745,50.6058,0.316861
12.2697,50.6307,0.316933
12.2649,50.6556,0.317005
12.2601,50.6805,0.317077
12.2553,50.7054,0.317149
12.2506,50.7303,0.317221
12.2458,50.7552,0.317293
12.241,50.7801,0.317365
12.2363,50.805,0.317437
12.2315,50.8299,0.317508
12.2267,50.8548,0.31758
12.222,50.8797,0.317652
12.2172,50.9046,0.317724
12.2125,50.9295,0.317795
12.2078,50.9544,0.317867
12.203,50.9793,0.317939
12.1983,51.0042,0.31801
12.1936,51.0291,0.318082
12.1888,51.054,0.318154
12.1841,51.0789,0.318225
12.1794,51.1038,0.318297
12.1747,51.1287,0.318368
12.17,51.1536,0.31844
12.1653,51.1785,0.318511
12.1606,51.2034,0.318583
12.1559,51.2283,0.318654
12.1512,51.2532,0.318726
12.1465,51.2781,0.318797
12.1419,51.303,0.318869
12.1372,51.3279,0.31894
12.1325,51.3528,0.319011
12.1279,51.3777,0.319083
12.1232,51.4026,0.319154
12.1185,51.4275,0.319225
12.1139,51.4524,0.319296
12.1092,51.4773,0.319368
12.1046,51.5023,0.319439
12.0999,51.5272,0.31951
12.0953,51.5521,0.319581
12.0907,51.577,0.319652
12.0861,51.6019,0.319724
12.0814,51.6268,0.319795
12.0768,51.6517,0.319866
12.0722,51.6766,0.319937
12.0676,51.7015,0.320008
12.063,51.7264,0.320079
12.0584,51.7513,0.32015
12.0538,51.7762,0.320221
12.0492,51.8011,0.320292
12.0446,51.826,0.320363
12.04,51.8509,0.320434
12.0354,51.8758,0.320505
12.0308,51.9007,0.320576
12.0263,51.9256,0.320646
12.0217,51.9505,0.320717
12.0171,51.9754,0.320788
12.0126,52.0003,0.320859
12.008,52.0252,0.32093
12.0034,52.0501,0.321
11.9989,52.075,0.321071
11.9943,52.0999,0.321142
11.9898,52.1248,0.321213
11.9853,52.1497,0.321283
11.9807,52.1746,0.321354
11.9762,52.1995,0.321425
11.9717,52.2244,0.321495
11.9671,52.2493,0.321566
11.9626,52.2742,0.321636
11.9581,52.2991,0.321707
11.9536,52.324,0.321777
11.9491,52.3489,0.321848
11.9446,52.3738,0.321918
11.9401,52.3987,0.321989
11.9356,52.4236,0.322059
11.9311,52.4485,0.32213
11.9266,52.4734,0.3222
11.9221,52.4983,0.322271
11.9177,52.5233,0.322341
11.9132,52.5482,0.322411
11.9087,52.5731,0.322482
11.9042,52.598,0.322552
11.8998,52.6229,0.322622
11.8953,52.6478,0.322692
11.8909,52.6727,0.322763
11.8864,52.6976,0.322833
11.882,52.7225,0.322903
11.8775,52.7474,0.322973
11.8731,52.7723,0.323043
11.8686,52.7972,0.323114
11.8642,52.8221,0.323184
11.8598,52.847,0.323254
11.8554,52.8719,0.323324
11.8509,52.8968,0.323394
11.8465,52.9217,0.323464
11.8421,52.9466,0.323534
11.8377,52.9715,0.323604
11.8333,52.9964,0.323674
11.8289,53.0213,0.323744
11.8245,53.0462,0.323814
11.8201,53.0711,0.323884
11.8157,53.096,0.323954
11.8113,53.1209,0.324023
11.8069,53.1458,0.324093
11.8026,53.1707,0.324163
11.7982,53.1956,0.324233
11.7938,53.2205,0.324303
11.7895,53.2454,0.324372
11.7851,53.2703,0.324442
11.7807,53.2952,0.324512
11.7764,53.3201,0.324582
11.772,53.345,0.324651
11.7677,53.3699,0.324721
11.7633,53.3948,0.324791
11.759,53.4197,0.32486
11.7547,53.4446,0.32493
11.7503,53.4695,0.324999
11.746,53.4944,0.325069
11.7417,53.5194,0.325139
11.7374,53.5443,0.325208
11.733,53.5692,0.325278
11.7287,53.5941,0.325347
11.7244,53.619,0.325417
11.7201,53.6439,0.325486
11.7158,53.6688,0.325555
11.7115,53.6937,0.325625
11.7072,53.7186,0.325694
11.7029,53.7435,0.325764
11.6986,53.7684,0.325833
11.6943,53.7933,0.325902
11.6901,53.8182,0.325972
11.6858,53.8431,0.326041
11.6815,53.868,0.32611
11.6772,53.8929,0.326179
11.673,53.9178,0.326249
11.6687,53.9427,0.326318
11.6644,53.9676,0.326387
11.6602,53.9925,0.326456
11.6559,54.0174,0.326525
11.6517,54.0423,0.326594
11.6474,54.0672,0.326664
11.6432,54.0921,0.326733
11.639,54.117,0.326802
11.6347,54.1419,0.326871
11.6305,54.1668,0.32694
11.6263,54.1917,0.327009
11.6221,54.2166,0.327078
11.6178,54.2415,0.327147
11.6136,54.2664,0.327216
11.6094,54.2913,0.327285
11.6052,54.3162,0.327354
11.601,54.3411,0.327422
11.5968,54.366,0.327491
11.5926,54.3909,0.32756
11.5884,54.4158,0.327629
11.5842,54.4407,0.327698
11.58,54.4656,0.327767
11.5758,54.4905,0.327835
11.5717,54.5155,0.327904
11.5675,54.5404,0.327973
11.5633,54.5653,0.328042
11.5591,54.5902,0.32811
11.555,54.6151,0.328179
11.5508,54.64,0.328248
11.5467,54.6649,0.328316
11.5425,54.6898,0.328385
11.5384,54.7147,0.328453
11.5342,54.7396,0.328522
11.5301,54.7645,0.32859
11.5259,54.7894,0.328659
11.5218,54.8143,0.328728
11.5176,54.8392,0.328796
11.5135,54.8641,0.328865
11.5094,54.889,0.328933
11.5053,54.9139,0.329001
11.5011,54.9388,0.32907
11.497,54.9637,0.329138
11.4929,54.9886,0.329207
11.4888,55.0135,0.329275
11.4847,55.0384,0.329343
11.4806,55.0633,0.329412
11.4765,55.0882,0.32948
11.4724,55.1131,0.329548
11.4683,55.138,0.329616
11.4642,55.1629,0.329685
11.4601,55.1878,0.329753
11.4561,55.2127,0.329821
11.452,55.2376,0.329889
11.4479,55.2625,0.329958
11.4438,55.2874,0.330026
11.4398,55.3123,0.330094
11.4357,55.3372,0.330162
11.4316,55.3621,0.33023
11.4276,55.387,0.330298
11.4235,55.4119,0.330366
11.4195,55.4368,0.330434
11.4154,55.4617,0.330502
11.4114,55.4866,0.33057
11.4073,55.5116,0.330638
11.4033,55.5365,0.330706
11.3993,55.5614,0.330774
11.3952,55.5863,0.330842
11.3912,55.6112,0.33091
11.3872,55.6361,0.330978
11.3832,55.661,0.331046
11.3791,55.6859,0.331113
11.3751,55.7108,0.331181
11.3711,55.7357,0.331249
11.3671,55.7606,0.331317
11.3631,55.7855,0.331385
11.3591,55.8104,0.331452
11.3551,55.8353,0.33152
11.3511,55.8602,0.331588
11.3471,55.8851,0.331655
11.3431,55.91,0.331723
11.3391,55.9349,0.331791
11.3352,55.9598,0.331858
11.3312,55.9847,0.331926
11.3272,56.0096,0.331994
11.3232,56.0345,0.332061
11.3193,56.0594,0.332129
11.3153,56.0843,0.332196
11.3113,56.1092,0.332264
11.3074,56.1341,0.332331
11.3034,56.159,0.332399
11.2995,56.1839,0.332466
11.2955,56.2088,0.332534
11.2916,56.2337,0.332601
11.2876,56.2586,0.332669
11.2837,56.2835,0.332736
11.2798,56.3084,0.332803
11.2758,56.3333,0.332871
11.2719,56.3582,0.332938
11.268,56.3831,0.333005
11.264,56.408,0.333073
11.2601,56.4329,0.33314
11.2562,56.4578,0.333207
11.2523,56.4827,0.333274
11.2484,56.5077,0.333342
11.2445,56.5326,0.333409
11.2406,56.5575,0.333476
11.2367,56.5824,0.333543
11.2328,56.6073,0.33361
11.2289,56.6322,0.333677
11.225,56.6571,0.333745
11.2211,56.682,0.333812
11.2172,56.7069,0.333879
11.2133,56.7318,0.333946
11.2095,56.7567,0.334013
11.2056,56.7816,0.33408
11.2017,56.8065,0.334147
11.1978,56.8314,0.334214
11.194,56.8563,0.334281
11.1901,56.8812,0.334348
11.1863,56.9061,0.334415
11.1824,56.931,0.334482
11.1786,56.9559,0.334548
11.1747,56.9808,0.334615
11.1709,57.0057,0.334682
11.167,57.0306,0.334749
11.1632,57.0555,0.334816
11.1593,57.0804,0.334883
11.1555,57.1053,0.334949
11.1517,57.1302,0.335016
11.1478,57.1551,0.335083
11.144,57.18,0.33515
11.1402,57.2049,0.335216
11.1364,57.2298,0.335283
11.1326,57.2547,0.33535
11.1287,57.2796,0.335416
11.1249,57.3045,0.335483
11.1211,57.3294,0.335549
11.1173,57.3543,0.335616
11.1135,57.3792,0.335683
11.1097,57.4041,0.335749
11.1059,57.429,0.335816
11.1021,57.4539,0.335882
11.0984,57.4788,0.335949
11.0946,57.5038,0.336015
11.0908,57.5287,0.336082
11.087,57.5536,0.336148
11.0832,57.5785,0.336215
11.0795,57.6034,0.336281
11.0757,57.6283,0.336347
11.0719,57.6532,0.336414
11.0682,57.6781,0.33648
11.0644,57.703,0.336546
11.0606,57.7279,0.336613
11.0569,57.7528,0.336679
11.0531,57.7777,0.336745
11.0494,57.8026,0.336812
11.0456,57.8275,0.336878
11.0419,57.8524,0.336944
11.0382,57.8773,0.33701
11.0344,57.9022,0.337077
11.0307,57.9271,0.337143
11.027,57.952,0.337209
11.0232,57.9769,0.337275
11.0195,58.0018,0.337341
11.0158,58.0267,0.337407
11.0121,58.0516,0.337473
11.0084,58.0765,0.337539
11.0046,58.1014,0.337605
11.0009,58.1263,0.337671
10.9972,58.1512,0.337737
10.9935,58.1761,0.337803
10.9898,58.201,0.337869
10.9861,58.2259,0.337935
10.9824,58.2508,0.338001
10.9787,58.2757,0.338067
10.975,58.3006,0.338133
10.9714,58.3255,0.338199
10.9677,58.3504,0.338265
10.964,58.3753,0.338331
10.9603,58.4002,0.338397
10.9566,58.4251,0.338462
10.953,58.45,0.338528
10.9493,58.4749,0.338594
10.9456,58.4998,0.33866
10.942,58.5248,0.338726
10.9383,58.5497,0.338791
10.9347,58.5746,0.338857
10.931,58.5995,0.338923
10.9273,58.6244,0.338988
10.9237,58.6493,0.339054
10.9201,58.6742,0.33912
10.9164,58.6991,0.339185
10.9128,58.724,0.339251
10.9091,58.7489,0.339317
10.9055,58.7738,0.339382
10.9019,58.7987,0.339448
10.8982,58.8236,0.339513
10.8946,58.8485,0.339579
10.891,58.8734,0.339644
10.8874,58.8983,0.33971
10.8838,58.9232,0.339775
10.8801,58.9481,0.339841
10.8765,58.973,0.339906
10.8729,58.9979,0.339971
10.8693,59.0228,0.340037
10.8657,59.0477,0.340102
10.8621,59.0726,0.340168
10.8585,59.0975,0.340233
10.8549,59.1224,0.340298
10.8513,59.1473,0.340364
10.8477,59.1722,0.340429
10.8441,59.1971,0.340494
10.8406,59.222,0.340559
10.837,59.2469,0.340625
10.8334,59.2718,0.34069
10.8298,59.2967,0.340755
10.8263,59.3216,0.34082
10.8227,59.3465,0.340885
10.8191,59.3714,0.340951
10.8156,59.3963,0.341016
10.812,59.4212,0.341081
10.8084,59.4461,0.341146
10.8049,59.471,0.341211
10.8013,59.4959,0.341276
10.7978,59.5209,0.341341
10.7942,59.5458,0.341406
10.7907,59.5707,0.341471
10.7872,59.5956,0.341536
10.7836,59.6205,0.341601
10.7801,59.6454,0.341666
10.7765,59.6703,0.341731
10.773,59.6952,0.341796
10.7695,59.7201,0.341861
10.766,59.745,0.341926
10.7624,59.7699,0.341991
10.7589,59.7948,0.342055
10.7554,59.8197,0.34212
10.7519,59.8446,0.342185
10.7484,59.8695,0.34225
10.7449,59.8944,0.342315
10.7414,59.9193,0.34238
10.7379,59.9442,0.342444
10.7344,59.9691,0.342509
10.7309,59.994,0.342574
10.7274,60.0189,0.342638
10.7239,60.0438,0.342703
10.7204,60.0687,0.342768
10.7169,60.0936,0.342832
10.7134,60.1185,0.342897
10.7099,60.1434,0.342962
10.7065,60.1683,0.343026
10.703,60.1932,0.343091
10.6995,60.2181,0.343155
10.696,60.243,0.34322
10.6926,60.2679,0.343285
10.6891,60.2928,0.343349
10.6856,60.3177,0.343414
10.6822,60.3426,0.343478
10.6787,60.3675,0.343542
10.6753,60.3924,0.343607
10.6718,60.4173,0.343671
10.6684,60.4422,0.343736
10.6649,60.4671,0.3438
10.6615,60.492,0.343865
10.658,60.517,0.343929
10.6546,60.5419,0.343993
10.6511,60.5668,0.344058
10.6477,60.5917,0.344122
10.6443,60.6166,0.344186
10.6409,60.6415,0.34425
10.6374,60.6664,0.344315
10.634,60.6913,0.344379
10.6306,60.7162,0.344443
10.6272,60.7411,0.344507
10.6238,60.766,0.344572
10.6203,60.7909,0.344636
10.6169,60.8158,0.3447
10.6135,60.8407,0.344764
10.6101,60.8656,0.344828
10.6067,60.8905,0.344892
10.6033,60.9154,0.344956
10.5999,60.9403,0.345021
10.5965,60.9652,0.345085
10.5931,60.9901,0.345149
10.5897,61.015,0.345213
10.5864,61.0399,0.345277
10.583,61.0648,0.345341
10.5796,61.0897,0.345405
10.5762,61.1146,0.345469
10.5728,61.1395,0.345533
10.5695,61.1644,0.345596
10.5661,61.1893,0.34566
10.5627,61.2142,0.345724
10.5593,61.2391,0.345788
10.556,61.264,0.345852
10.5526,61.2889,0.345916
10.5493,61.3138,0.34598
10.5459,61.3387,0.346044
10.5426,61.3636,0.346107
10.5392,61.3885,0.346171
10.5359,61.4134,0.346235
10.5325,61.4383,0.346299
10.5292,61.4632,0.346362
10.5258,61.4881,0.346426
10.5225,61.5131,0.34649
10.5191,61.538,0.346553
10.5158,61.5629,0.346617
10.5125,61.5878,0.346681
10.5092,61.6127,0.346744
10.5058,61.6376,0.346808
10.5025,61.6625,0.346872
10.4992,61.6874,0.346935
10.4959,61.7123,0.346999
10.4925,61.7372,0.347062
10.4892,61.7621,0.347126
10.4859,61.787,0.347189
10.4826,61.8119,0.347253
10.4793,61.8368,0.347316
10.476,61.8617,0.34738
10.4727,61.8866,0.347443
10.4694,61.9115,0.347507
10.4661,61.9364,0.34757
10.4628,61.9613,0.347633
10.4595,61.9862,0.347697
10.4562,62.0111,0.34776
10.4529,62.036,0.347824
10.4497,62.0609,0.347887
10.4464,62.0858,0.34795
10.4431,62.1107,0.348014
10.4398,62.1356,0.348077
10.4366,62.1605,0.34814
10.4333,62.1854,0.348203
10.43,62.2103,0.348267
10.4267,62.2352,0.34833
10.4235,62.2601,0.348393
10.4202,62.285,0.348456
10.417,62.3099,0.348519
10.4137,62.3348,0.348583
10.4104,62.3597,0.348646
10.4072,62.3846,0.348709
10.4039,62.4095,0.348772
10.4007,62.4344,0.348835
10.3974,62.4593,0.348898
10.3942,62.4842,0.348961
10.391,62.5092,0.349024
10.3877,62.5341,0.349087
10.3845,62.559,0.34915
10.3813,62.5839,0.349213
10.378,62.6088,0.349276
10.3748,62.6337,0.349339
10.3716,62.6586,0.349402
10.3684,62.6835,0.349465
10.3651,62.7084,0.349528
10.3619,62.7333,0.349591
10.3587,62.7582,0.349654
10.3555,62.7831,0.349717
10.3523,62.808,0.349779
10.3491,62.8329,0.349842
10.3459,62.8578,0.349905
10.3426,62.8827,0.349968
10.3394,62.9076,0.350031
10.3362,62.9325,0.350093
10.3331,62.9574,0.350156
10.3299,62.9823,0.350219
10.3267,63.0072,0.350282
10.3235,63.0321,0.350344
10.3203,63.057,0.350407
10.3171,63.0819,0.35047
10.3139,63.1068,0.350532
10.3107,63.1317,0.350595
10.3076,63.1566,0.350658
10.3044,63.1815,0.35072
10.3012,63.2064,0.350783
10.298,63.2313,0.350845
10.2949,63.2562,0.350908
10.2917,63.2811,0.350971
10.2885,63.306,0.351033
10.2854,63.3309,0.351096
10.2822,63.3558,0.351158
10.2791,63.3807,0.351221
10.2759,63.4056,0.351283
10.2727,63.4305,0.351345
10.2696,63.4554,0.351408
10.2664,63.4803,0.35147
10.2633,63.5053,0.351533
10.2602,63.5302,0.351595
10.257,63.5551,0.351658
10.2539,63.58,0.35172
10.2507,63.6049,0.351782
10.2476,63.6298,0.351845
10.2445,63.6547,0.351907
10.2413,63.6796,0.351969
10.2382,63.7045,0.352031
10.2351,63.7294,0.352094
10.232,63.7543,0.352156
10.2288,63.7792,0.352218
10.2257,63.8041,0.35228
10.2226,63.829,0.352343
10.2195,63.8539,0.352405
10.2164,63.8788,0.352467
10.2133,63.9037,0.352529
10.2102,63.9286,0.352591
10.2071,63.9535,0.352653
10.204,63.9784,0.352715
10.2009,64.0033,0.352778
10.1978,64.0282,0.35284
10.1947,64.0531,0.352902
10.1916,64.078,0.352964
10.1885,64.1029,0.353026
10.1854,64.1278,0.353088
10.1823,64.1527,0.35315
10.1792,64.1776,0.353212
10.1761,64.2025,0.353274
10.173,64.2274,0.353336
10.17,64.2523,0.353398
10.1669,64.2772,0.35346
10.1638,64.3021,0.353521
10.1608,64.327,0.353583
10.1577,64.3519,0.353645
10.1546,64.3768,0.353707
10.1515,64.4017,0.353769
10.1485,64.4266,0.353831
10.1454,64.4515,0.353893
10.1424,64.4764,0.353954
10.1393,64.5014,0.354016
10.1363,64.5263,0.354078
10.1332,64.5512,0.35414
10.1302,64.5761,0.354201
10.1271,64.601,0.354263
10.1241,64.6259,0.354325
10.121,64.6508,0.354387
10.118,64.6757,0.354448
10.1149,64.7006,0.35451
10.1119,64.7255,0.354571
10.1089,64.7504,0.354633
10.1058,64.7753,0.354695
10.1028,64.8002,0.354756
10.0998,64.8251,0.354818
10.0968,64.85,0.354879
10.0937,64.8749,0.354941
10.0907,64.8998,0.355003
10.0877,64.9247,0.355064
10.0847,64.9496,0.355126
10.0817,64.9745,0.355187
10.0786,64.9994,0.355249
10.0756,65.0243,0.35531
10.0726,65.0492,0.355371
10.0696,65.0741,0.355433
10.0666,65.099,0.355494
10.0636,65.1239,0.355556
10.0606,65.1488,0.355617
10.0576,65.1737,0.355678
10.0546,65.1986,0.35574
10.0516,65.2235,0.355801
10.0486,65.2484,0.355862
10.0456,65.2733,0.355924
10.0427,65.2982,0.355985
10.0397,65.3231,0.356046
10.0367,65.348,0.356108
10.0337,65.3729,0.356169
10.0307,65.3978,0.35623
10.0278,65.4227,0.356291
10.0248,65.4476,0.356353
10.0218,65.4725,0.356414
10.0188,65.4974,0.356475
10.0159,65.5224,0.356536
10.0129,65.5473,0.356597
10.0099,65.5722,0.356658
10.007,65.5971,0.356719
10.004,65.622,0.356781
10.0011,65.6469,0.356842
9.99811,65.6718,0.356903
9.99516,65.6967,0.356964
9.99221,65.7216,0.357025
9.98926,65.7465,0.357086
9.98631,65.7714,0.357147
9.98336,65.7963,0.357208
9.98042,65.8212,0.357269
9.97748,65.8461,0.35733
9.97454,65.871,0.357391
9.97161,65.8959,0.357452
9.96867,65.9208,0.357513
9.96574,65.9457,0.357573
9.96281,65.9706,0.357634
9.95988,65.9955,0.357695
9.95695,66.0204,0.357756
9.95403,66.0453,0.357817
9.95111,66.0702,0.357878
9.94819,66.0951,0.357939
9.94527,66.12,0.357999
9.94235,66.1449,0.35806
9.93944,66.1698,0.358121
9.93653,66.1947,0.358182
9.93362,66.2196,0.358242
9.93071,66.2445,0.358303
9.9278,66.2694,0.358364
9.9249,66.2943,0.358424
9.922,66.3192,0.358485
9.9191,66.3441,0.358546
9.9162,66.369,0.358606
9.9133,66.3939,0.358667
9.91041,66.4188,0.358728
9.90752,66.4437,0.358788
9.90463,66.4686,0.358849
9.90174,66.4935,0.358909
9.89886,66.5185,0.35897
9.89597,66.5434,0.359031
9.89309,66.5683,0.359091
9.89021,66.5932,0.359152
9.88733,66.6181,0.359212
9.88446,66.643,0.359273
9.88158,66.6679,0.359333
9.87871,66.6928,0.359394
9.87584,66.7177,0.359454
9.87298,66.7426,0.359514
9.87011,66.7675,0.359575
9.86725,66.7924,0.359635
9.86439,66.8173,0.359696
9.86153,66.8422,0.359756
9.85867,66.8671,0.359816
9.85581,66.892,0.359877
9.85296,66.9169,0.359937
9.85011,66.9418,0.359997
9.84726,66.9667,0.360058
9.84441,66.9916,0.360118
9.84156,67.0165,0.360178
9.83872,67.0414,0.360238
9.83588,67.0663,0.360299
9.83304,67.0912,0.360359
9.8302,67.1161,0.360419
9.82737,67.141,0.360479
9.82453,67.1659,0.360539
9.8217,67.1908,0.3606
9.81887,67.2157,0.36066
9.81604,67.2406,0.36072
9.81322,67.2655,0.36078
9.81039,67.2904,0.36084
9.80757,67.3153,0.3609
9.80475,67.3402,0.36096
9.80193,67.3651,0.36102
9.79912,67.39,0.36108
9.7963,67.4149,0.36114
9.79349,67.4398,0.3612
9.79068,67.4647,0.36126
9.78787,67.4896,0.36132
9.78506,67.5146,0.36138
9.78226,67.5395,0.36144
9.77946,67.5644,0.3615
9.77665,67.5893,0.36156
9.77386,67.6142,0.36162
9.77106,67.6391,0.36168
9.76826,67.664,0.36174
9.76547,67.6889,0.3618
9.76268,67.7138,0.36186
9.75989,67.7387,0.36192
9.7571,67.7636,0.361979
9.75432,67.7885,0.362039
9.75153,67.8134,0.362099
9.74875,67.8383,0.362159
9.74597,67.8632,0.362219
9.74319,67.8881,0.362278
9.74042,67.913,0.362338
9.73764,67.9379,0.362398
9.73487,67.9628,0.362458
9.7321,67.9877,0.362517
9.72933,68.0126,0.362577
9.72657,68.0375,0.362637
9.7238,68.0624,0.362696
9.72104,68.0873,0.362756
9.71828,68.1122,0.362816
9.71552,68.1371,0.362875
9.71276,68.162,0.362935
9.71001,68.1869,0.362994
9.70725,68.2118,0.363054
9.7045,68.2367,0.363114
9.70175,68.2616,0.363173
9.69901,68.2865,0.363233
9.69626,68.3114,0.363292
9.69352,68.3363,0.363352
9.69077,68.3612,0.363411
9.68803,68.3861,0.363471
9.6853,68.411,0.36353
9.68256,68.4359,0.36359
9.67982,68.4608,0.363649
9.67709,68.4857,0.363708
9.67436,68.5107,0.363768
9.67163,68.5356,0.363827
9.6689,68.5605,0.363887
9.66618,68.5854,0.363946
9.66346,68.6103,0.364005
9.66073,68.6352,0.364065
9.65801,68.6601,0.364124
9.6553,68.685,0.364183
9.65258,68.7099,0.364243
9.64987,68.7348,0.364302
9.64715,68.7597,0.364361
9.64444,68.7846,0.36442
9.64173,68.8095,0.36448
9.63903,68.8344,0.364539
9.63632,68.8593,0.364598
9.63362,68.8842,0.364657
9.63092,68.9091,0.364716
9.62822,68.934,0.364776
9.62552,68.9589,0.364835
9.62282,68.9838,0.364894
9.62013,69.0087,0.364953
9.61744,69.0336,0.365012
9.61475,69.0585,0.365071
9.61206,69.0834,0.36513
9.60937,69.1083,0.365189
9.60669,69.1332,0.365248
9.604,69.1581,0.365307
9.60132,69.183,0.365366
9.59864,69.2079,0.365425
9.59596,69.2328,0.365484
9.59329,69.2577,0.365543
9.59061,69.2826,0.365602
9.58794,69.3075,0.365661
9.58527,69.3324,0.36572
9.5826,69.3573,0.365779
9.57993,69.3822,0.365838
9.57727,69.4071,0.365897
9.5746,69.432,0.365956
9.57194,69.4569,0.366015
9.56928,69.4818,0.366074
9.56662,69.5068,0.366132
9.56397,69.5317,0.366191
9.56131,69.5566,0.36625
9.55866,69.5815,0.366309
9.55601,69.6064,0.366368
9.55336,69.6313,0.366426
9.55071,69.6562,0.366485
9.54807,69.6811,0.366544
9.54542,69.706,0.366603
9.54278,69.7309,0.366661
9.54014,69.7558,0.36672
9.5375,69.7807,0.366779
9.53486,69.8056,0.366838
9.53223,69.8305,0.366896
9.52959,69.8554,0.366955
9.52696,69.8803,0.367013
9.52433,69.9052,0.367072
9.5217,69.9301,0.367131
9.51908,69.955,0.367189
9.51645,69.9799,0.367248
9.51383,70.0048,0.367306
9.51121,70.0297,0.367365
9.50859,70.0546,0.367424
9.50597,70.0795,0.367482
9.50336,70.1044,0.367541
9.50074,70.1293,0.367599
9.49813,70.1542,0.367658
9.49552,70.1791,0.367716
9.49291,70.204,0.367775
9.4903,70.2289,0.367833
9.4877,70.2538,0.367891
9.48509,70.2787,0.36795
9.48249,70.3036,0.368008
9.47989,70.3285,0.368067
9.47729,70.3534,0.368125
9.47469,70.3783,0.368183
9.4721,70.4032,0.368242
9.4695,70.4281,0.3683
9.46691,70.453,0.368358
9.46432,70.4779,0.368417
9.46173,70.5029,0.368475
9.45915,70.5278,0.368533
9.45656,70.5527,0.368592
9.45398,70.5776,0.36865
9.4514,70.6025,0.368708
9.44882,70.6274,0.368766
9.44624,70.6523,0.368825
9.44366,70.6772,0.368883
9.44109,70.7021,0.368941
9.43851,70.727,0.368999
9.43594,70.7519,0.369057
9.43337,70.7768,0.369115
9.4308,70.8017,0.369174
9.42824,70.8266,0.369232
9.42567,70.8515,0.36929
9.42311,70.8764,0.369348
9.42055,70.9013,0.369406
9.41799,70.9262,0.369464
9.41543,70.9511,0.369522
9.41287,70.976,0.36958
9.41032,71.0009,0.369638
9.40777,71.0258,0.369696
9.40521,71.0507,0.369754
9.40267,71.0756,0.369812
9.40012,71.1005,0.36987
9.39757,71.1254,0.369928
9.39503,71.1503,0.369986
9.39248,71.1752,0.370044
9.38994,71.2001,0.370102
9.3874,71.225,0.37016
9.38486,71.2499,0.370218
9.38233,71.2748,0.370276
9.37979,71.2997,0.370333
9.37726,71.3246,0.370391
9.37473,71.3495,0.370449
9.3722,71.3744,0.370507
9.36967,71.3993,0.370565
9.36714,71.4242,0.370623
9.36462,71.4491,0.37068
9.3621,71.474,0.370738
9.35957,71.4989,0.370796
9.35706,71.5239,0.370854
9.35454,71.5488,0.370911
9.35202,71.5737,0.370969
9.34951,71.5986,0.371027
9.34699,71.6235,0.371084
9.34448,71.6484,0.371142
9.34197,71.6733,0.3712
9.33946,71.6982,0.371257
9.33695,71.7231,0.371315
9.33445,71.748,0.371373
9.33195,71.7729,0.37143
9.32944,71.7978,0.371488
9.32694,71.8227,0.371546
9.32445,71.8476,0.371603
9.32195,71.8725,0.371661
9.31945,71.8974,0.371718
9.31696,71.9223,0.371776
9.31447,71.9472,0.371833
9.31198,71.9721,0.371891
9.30949,71.997,0.371948
9.307,72.0219,0.372006
9.30451,72.0468,0.372063
9.30203,72.0717,0.372121
9.29955,72.0966,0.372178
9.29707,72.1215,0.372236
9.29459,72.1464,0.372293
9.29211,72.1713,0.37235
9.28963,72.1962,0.372408
9.28716,72.2211,0.372465
9.28469,72.246,0.372522
9.28221,72.2709,0.37258
9.27974,72.2958,0.372637
9.27728,72.3207,0.372694
9.27481,72.3456,0.372752
9.27234,72.3705,0.372809
9.26988,72.3954,0.372866
9.26742,72.4203,0.372924
9.26496,72.4452,0.372981
9.2625,72.4701,0.373038
9.26004,72.495,0.373095
9.25759,72.52,0.373153
9.25513,72.5449,0.37321
9.25268,72.5698,0.373267
9.25023,72.5947,0.373324
9.24778,72.6196,0.373381
9.24533,72.6445,0.373439
9.24289,72.6694,0.373496
9.24044,72.6943,0.373553
9.238,72.7192,0.37361
9.23556,72.7441,0.373667
9.23312,72.769,0.373724
9.23068,72.7939,0.373781
9.22824,72.8188,0.373838
9.22581,72.8437,0.373895
9.22337,72.8686,0.373952
9.22094,72.8935,0.374009
9.21851,72.9184,0.374066
9.21608,72.9433,0.374123
9.21366,72.9682,0.37418
9.21123,72.9931,0.374237
9.2088,73.018,0.374294
9.20638,73.0429,0.374351
9.20396,73.0678,0.374408
9.20154,73.0927,0.374465
9.19912,73.1176,0.374522
9.19671,73.1425,0.374579
9.19429,73.1674,0.374636
9.19188,73.1923,0.374693
9.18947,73.2172,0.374749
9.18706,73.2421,0.374806
9.18465,73.267,0.374863
